760	5240	今日１日で何社の企業と関わりましたか？
5240	6920	朝起きて
6920	8160	シャワーを浴び
8160	9440	髪を洗って
9440	11000	ドライヤーで乾かし
11000	12240	朝食を食べー
12240	14122	シリアルや果物 ヨーグルトか何かを食べ
14122	15360	コーヒーを飲みー
15360	16760	あるいはお茶を飲み
16760	18760	ここに来るために公共交通機関に乗るか
18760	21520	自家用車に乗ったでしょう
21520	26160	あなたが勤めている あるいは 経営する企業と関わりました
26160	28760	依頼人と関わり
28760	30640	顧客と関わり
30640	31920	そんな感じです
31920	35560	今日だけでも少なくとも７社と あなたが関わっていると
35560	37960	断言できます
37960	40840	驚くべき統計についてお話しします
40840	45240	毎年 大企業の７社に１社が
45240	48400	不正行為を働いています
48400	51840	これはアメリカ企業を対象にした 学術研究ですが
51840	55480	ヨーロッパで大きく異なるとは思えません
55480	59720	この研究は統計手法を使い 露呈の有無に関係なく
59720	61480	不正行為の数を導いています
61480	64120	不正行為は些細な詐欺ではありません
64120	67000	不正行為はその企業の株主に損失を与え
67000	68280	社会に損失を与え
68280	72960	毎年その額は3800億ドルに上ります
72960	75200	例を挙げる事ができると思います
75200	79800	自動車業界の秘密はもはや秘密ではありません
79800	83120	金融サービス業界の不正行為は
83120	84360	バグ（誤り）ではなくて
84360	86320	もはや仕組みの一部になっています
86320	88560	これは私個人の意見ではなく
88560	91840	アメリカ金融学会の理事が
91840	94800	就任演説で述べたものです
94800	97560	金融業界の信用に大きく依存する
97560	99280	スイスのような経済を考えると
99280	104960	これは巨大な問題です
104960	106200	その一方で
106200	109760	不正行為に手を染める誘惑に打ち勝ち
109760	114240	７社の内６社は健全性を保っています
114240	116560	オリンパスで内部告発をした
116560	118920	マイケル・ウッドフォードのような 人々がいます
118920	122880	その様な告発者は自分のキャリアや友情を 犠牲にするリスクを抱えながら
122880	125040	彼らの企業の真実を白日の下に晒すのです
125040	127680	人権侵害の取材のために 自らの命を危険に晒す
127680	131260	アンナ・ポリトコフスカヤのような ジャーナリストがいます
131260	132800	彼女は殺害されました
132800	135720	毎年 およそ100人のジャーナリストが
135720	140040	真実を公開するという信条のゆえに 命を奪われています
140040	141320	今日私のトークでは
141320	144840	10年に渡るこの問題の研究から
144840	148160	私が学んだ事柄を 皆さんと共有したいと思います
148160	151680	私は研究者で 多方面の方々と仕事をします 経済学者や
151680	153040	金融経済学者や
153040	155120	倫理学者や 脳神経科学者や
155120	156480	弁護士など
156480	158600	何が人を衝き動かすのかを理解し
158600	163400	企業の不正行為という課題を どう解決すべきか
163400	167280	それにより 世界をより良いものにすべく 貢献をするために研究しています
167280	170840	人々の行動についての２つの異なる ビジョンを共有する事から
170840	172680	始めたいと思います
172680	175200	最初はアダム・スミス
175200	178280	現代経済学の創始者です
178280	182600	彼の基本的な考え方は 誰しも私利私欲で行動すれば
182600	186080	最終的には皆の利益になるというものでした
186080	191120	私利私欲は単なるお手軽な概念などでは無く
191120	193080	長期的な影響力があるものです
193080	195080	少し考えて見ましょう
195080	197120	この犬を例にとります
197120	199440	私たち自身の姿かもしれません
199440	200720	こんな誘惑があったとします
200720	203120	菜食主義の方には申し訳ありませんが
203120	204160	（笑）
204160	205880	犬はブラートヴルストが好きなものです
205880	208280	（笑）
208280	211400	そして私利私欲に任せて
211400	213000	一直線に飛びつきます
213000	215960	私の友達 アダムは飛び上がって
215960	220000	ソーセージを取るのですが 美しい食器をめちゃくちゃにします
220000	221840	でもそうしたかった訳ではありません
221840	225760	彼は意図しないこの結末を 無視するつもりは無かったのです
225760	227040	彼はまずい結果に
227040	229080	なるかも知れないと考えたでしょう
229080	230320	例えば
230320	233440	飼い主が怒るかもしれないと考え
233440	237840	犬は思い直すかも知れません
237840	239120	これは私たちの姿かも知れません
239120	242200	自分の行動による利益と損失を比較します
242200	243960	その考えはどこから来るのか？
243960	245960	皆さんが勤めている
245960	247520	多くの企業では
247520	249360	特に大企業であれば
249360	251040	行動規範があるはずです
251040	254480	その行動規範に則って行動すれば
254480	257680	ボーナスを貰える機会が増えます
257680	259839	その一方でそれを無視すれば
259839	262600	ボーナスが貰えないか
262600	264160	減額されます
264160	265440	言い方を変えると
265440	267280	経済的な動機付けにより
267280	270080	人々をより誠実にさせ
270080	274240	企業の規範と一致させようとするのです
274240	279520	類似したところでは 評判はとても強い経済の原動力と言えます
279520	281080	良い評判を得るために
281080	282520	例えば誠実であるように務め
282520	285960	将来 人々からより信頼されるように励みます
285960	287200	そうですよね？
287200	289320	アダム・スミスは
289320	293120	消費者への親切心からではなく
293120	296160	将来パンをもっと多く売りたいとの思いから
296160	300160	良いパンを作る パン焼き職人について語りましたが
300160	303800	私がチューリッヒ大学で行った研究で 明らかになったことですが
303800	308720	例えば脱税や税金詐欺などで
308720	310520	スイスの銀行が
310520	312080	メディアで取り上げられると
312080	313840	評判を落としてしまいます
313840	316600	すると彼らは将来の新規預金を失い
316600	318240	利益が縮小します
318240	322200	これは非常に強力な評判の力の例です
322200	325120	利益と損失
325120	327720	もう１つの世界の見方をお話しします
327720	329280	イマヌエル・カントは
329280	332920	18世紀のドイツ哲学界の スーパースターです
332920	334560	彼が展開した考えは
334560	337720	その行為の結果に関わらず
337720	340720	いくつかの行動はただ正しく いくつかの行動はただ誤りである
340720	342440	というものでした
342440	345680	嘘をつくのは悪いというのが良い例です
345680	348840	では友達のイマヌエルに登場してもらいます
348840	351680	彼はソーセージがとても美味しい事を 知っています
351680	354160	しかし彼は良い犬なので 食べようとはしません
354160	356880	彼は棚に飛び上がって
356880	360520	美しい食器を壊すリスクを取るのが 誤った行動だと知っています
360520	362960	人々もこんな動機で 行動すると考えると
362960	368960	インセンティブ、行動規範 ボーナス制度などは
368960	371160	あまり意味を成さなくなります
371160	375360	人々は多分違った価値観によって 動機付けされるのです
375360	378760	では実際 何によって 動機付けされているのでしょうか
378760	380960	この２人の紳士は完璧な髪形ですが
380960	385840	しかし全く異なる世界観を 私たちに見せてくれます
385840	387120	私たちはどう行動すべきか？
387120	388800	私は経済学者であり
388800	393000	そしてこの問題を解決するための 実験といえる事を進めています
393000	396320	現実では混乱を起こす事実を取り払い
396320	399080	現実はとても豊かで いろいろな事が起こっていて
399080	403520	人々は何に衝き動かされ行動するのかを 正確に知る事はほぼ不可能です
403520	406680	ここでちょっとした実験をします
406680	410400	こんな状況を想像してください
410400	412840	あなたはある部屋に１人でいます
412840	414400	こんな場所ではありません
414400	418560	私が今持っているような ５フランコインが１枚
418560	420160	目の前にあります
420160	421760	あなたの作業は
421760	425800	コインを４回投げて
425800	428240	傍にあるコンピュータに
428240	431920	何回裏面が出たかを入力することです
431920	433720	こんなシチュエーションです
433720	434960	ここからが厄介です
434960	438360	申告された 裏面の出た数毎に
438360	439880	５フランが支払われます
439880	442440	裏面が２回出たと申告すれば
442440	444680	10フランが支払われます
444680	447640	裏面の出た回数が０回だったと申告すれば 貰うのは０フランです
447640	450120	もし裏面が４回出たと申告すれば
450120	452160	20フランが支払われます
452160	453440	匿名で行われるので
453440	455360	誰もあなたの行動を見ていず
455360	457720	匿名のまま支払いを受け取れます
457720	459760	２つの質問をします
459760	461400	（笑）
461400	464000	質問を想像できますね？
464000	468240	最初の質問は あなたならどう振舞いますか？
468240	471200	２つめの質問は 右側と左側の方を見てー
471200	472240	（笑）
472240	474640	隣に座る人たちが
474640	476320	どう振舞うと思いますか？
476320	478480	実際にこの実験を行ってみました
478480	481200	マニフェスタ芸術展が
481200	483680	最近チューリッヒで行われた際に
483680	486560	大学の研究室の学生ではなく
486560	490080	皆さんのような 一般市民を対象にしました
490080	492240	先ずは統計学の復習です
492240	495840	裏表それぞれが出る確率が等しいコインを ４回投げた時に
495840	499960	４回とも裏面が出る確率は
499960	503080	6.25％です
503080	504760	直観で理解して欲しいのですが
504760	508160	裏が４回出る確率は ２回出る確率に比べて
508160	510760	かなり低いものです
510760	514039	このように数字で示されています
514039	515559	さて何が起きたでしょうか
515559	518799	現実に人々がこの実験に臨みました
518799	522159	およそ30-35％の人が
522159	525640	「ええと ４回裏が出ました」と言います
525640	527480	極端にありえない数字です
527480	529440	（笑）
529440	532600	恐らく経済学者にとって
532600	533920	さらに驚くべきは
533920	540480	約65％の人は４回裏が出たと 申告しなかった事でした
540480	542680	誰も監視していない状況下で
542680	544800	４回とも裏が出たと
544800	546760	申告すれば現金をより多く
546760	550120	手に入れられるにも関わらずです
550120	554040	０回だったと申告した場合は 机の上の20フランを残して立ち去るのですよ
554040	556640	匿名の調査だったので 人々が本当に正直だったのか
556640	560120	少し違う数字を報告していたかは
560120	561360	分かりません
561360	563040	私たちは統計分布を観察しただけです
563040	565720	でも私から言える事は— おっと もう１枚コインが
565720	567240	裏が出ています
567240	568760	（笑）
568760	570240	調べちゃだめですよ？
570240	573080	（笑）
573080	574400	でも私から言える事は
574400	580840	必ずしもすべての人がアダム・スミスの 予想の通りには振舞わなかった という事です
580840	582440	これはどういう意味か？
582440	586960	人々はその人自身が持つ価値観に 動機付けられているようです
586960	589440	私たちの研究は ここに着目して
589440	594760	「保護価値」と呼ばれる考え方を 研究しています
594760	597600	「保護価値」 は単なる価値ではありません
597600	603440	代償を払ってでも 守りたいと考える価値が
603440	604720	「保護価値」 なのです
604720	610200	流されそうな誘惑に打ち勝つために 対価を払おうと思うのです
610200	612880	結果として あなたの価値観と
612880	617200	一致する方法でお金が稼げれば 気分良く感じます
617200	622600	この事を 愛すべき犬を例に説明します
622600	626680	もし私たちの価値観を歪める事なく ソーセージを手に入れられれば
626680	628680	ソーセージはよりおいしく感じるでしょう
628680	630720	私たちの研究がそう示しました
630720	632000	その一方で
632000	633280	同様に
633280	634720	ソーセージを入手できても
634720	638200	そのために価値観を歪めることになると
638200	641200	ソーセージの価値は下がってしまうのです
641200	643680	定量的に見てもとても強力です
643680	646160	その 「保護価値」 を測ることもできます
646160	647400	例えば
647400	650360	アンケート調査によって計測します
650360	656360	簡単な９項目の質問が この実験では予測に役立ちました
656360	658720	平均値ということを考える場合
658720	660840	その周りには分布ができますー
660840	663480	人々はみな異なります 我々はみな異なるのです
663480	666480	ある一連の 「保護価値」 を持つ人々は
666480	670680	平均から１標準偏差分大きい位置にいて
670680	675760	彼らは嘘の申告をして貰った 金額の価値を25％低く感じるのです
675760	679400	嘘をついて受け取った１ドルは 彼らにとっては75セントの価値であると
679400	681560	この結果は示していて
681560	685280	誠実な振舞いを促す インセンティブがなかったとしてもこうです
685280	687040	彼らの本能的な動機なのです
687040	688920	ところで 私は道徳の専門家ではありません
688920	692440	私が高徳な価値観をすべて持っているとは 言っていません ですね？
692440	694400	しかし 私は人々の振る舞いに興味があり
694400	697800	人間性の豊かさを 実際に組織の改善に
697800	702400	活用できるだろうか ということに 興味があるのです
702400	705600	２つの実に異なるビジョンがあります
705600	706960	１つには
706960	709500	利益と損失に訴えて
709500	712680	人々がそれに基づいて行動する様に 仕向ける方法です
712680	714320	もう１つは
714320	718360	あなたが同じ価値観と
718360	720600	それからもちろん好ましい特性や
720600	724200	あなたの組織で役立つ技能を持った人物を 選ぶ方法もあります
724200	728440	その様な 「保護価値」 がどこから生まれるのか まだ判っていません
728440	731840	育成されたものか あるいは 自然発生的なものなのか
731840	733240	私が言えるのは
733240	738360	分布は男女ともに 非常に似通っている事です
738360	742160	経済学を学んだ人と 心理学を学んだ人の双方とも
