0001	14454	15182	何社が、
0002	16860	18389	今、あると思いますか？
0003	18724	19459	朝起きて、
0004	19904	20963	シャワーをとって、
0005	21672	26705	髪を直して、ドライヤーで。朝{ご飯||}を食べて、{シリアル||しりあるう}を
0006	27231	29900	コーヒー、ヨーグルト、フルーツ、お茶。
0007	31525	35750	公共輸送機関、もしくはマイカーで{||で}(P)通って、
0008	36054	43383	そして仕事のある、もしくは社長である企業に来て、そしてクライアントと会って、そしてお客様と会って、
0009	44183	45910	色んな事をされるでしょうか？
0010	47624	48668	少なくとも、
0011	50591	52878	{あなた||あらた}が関わっている会社は
0012	53745	55091	七社あるとしましょう。
0013	57852	63183	上場している会社の七社に一社は毎年不正行為をしています。
0014	64154	70041	米国の調査に於いて(F ま)の調査の結果ですが、ヨーロッパもそうだと思います。
0015	70425	74455	これは探知している物、していない{||な}物を統計方法で
0016	75068	76230	検知した物です。
0017	76491	79021	小さい不正行為ではありません。
0018	79414	83135	これによって株主に対して、そして社会にとって、
0019	83727	87028	{||す}三千八百億ドルの損害を出している物です。
0020	88388	89190	例えば、
0021	89690	91403	自動車の産業{||お}の
0022	91910	93800	秘密はもはや秘密では無い。
0023	94352	98072	詐欺行為はもう特徴となっているのです。
0024	98128	101194	バグではありません。サービス産業でもそうです。
0025	103069	110191	{アメリカン||あめらかん}金融業界の会長か就任の時に言っています。
0026	111014	113058	スイスの<H>{経済|けいざい|けいざん}もそうです。
0027	113430	115467	これは信頼性を<H>
0028	116548	117327	ベースに
0029	118257	120500	存立しているにも関わらずです。
0030	122220	127955	しかし六社は七社の内、とても真面目に不正行為はしないのです。
0031	128257	134757	(F え)しかしこの様な形で、内部<H>通報をするマイケル・ウッドワードの様な者がいます。
0032	135418	139102	これによって{||し}{||し}会社の信実を明らかにしているのです。
0033	139653	142587	(ポリコスト?)(?)の様な{ジャーナリスト||じゃーなりすて}も
0034	143484	146573	人権の(違反?)をしていると言う事で、そして
0035	147407	148304	殺されました。
0036	148491	153727	毎年百人ぐらいが、この様に信実を暴露しようとして殺されています。
0037	155179	157282	今日は皆さんと共に、
0038	157771	162627	この十年間の私の研究の結果を聞いていただきたいと思います。
0039	162799	171129	リサーチャー、サイエンティスト、エコノミスト、金融、それから神経科学者、弁護士が一緒になって
0040	171439	174331	人がどう言う風にこの問題に
0041	174646	182066	不正利用の企業の問題に対応しているのか、そして改善する事が出来るのかと言う事を調べました。
0042	182366	186116	二つの区別{||し}{||う}した、人の行動{||ん}の<H>
0043	187892	189113	アダム<H>・スミス
0044	189587	190535	の例と、
0045	191587	194051	このスミス氏<H>(F い)の例としては、
0046	194327	200272	皆は私利私欲で行動すると言う事で、最後は良くなるのだと言う風になっています。
0047	200987	206036	{私利|しり|しゅり}と言うのは狭義な物では無いのです。すぐこう言った形で{合理主義|ごうりしゅぎ|こうりしゅぎ}で
0048	206367	209727	欲で、そして利益を得ると言う事だけではありません。
0049	209889	212558	犬{です||で}。私達と考えてください。
0050	213095	217323	そして{誘惑|ゆうわく|ゆわく}があるのです。ベジタリアンの方には気の毒ですが、
0051	217676	220588	(F うー)でも<H>犬はソーセージが好きなんです。
0052	222768	224474	そして私利によって、
0053	225228	229022	{取ろう|とろう|とっろう}と言うのです。それでアダム曰く、
0054	229217	235595	(F う)そして、(F え)こう言ったソーセージを取ろうとして、全部テーブル<H>を壊してしまいました。
0055	235749	240595	しかし(F え)スミスはこう言った結果を無視するなと言う事です。
0056	240595	242764	これではマイナスの結果があるでしょう。
0057	243117	244529	例えばオーナーが、
0058	245830	251749	犬に怒って、そして{犬|いぬ|いに}はそれを<H>予測しているので行動しないかもしれない。
0059	251896	257838	人間がこれによって便益とコストを図ると言う事と同じです。どの様になるでしょう{||お}。
0060	258032	258907	皆さんは、
0061	259679	264647	皆さんの会社{に||の}於いて、{大企業|だいきぎょう|だいけぎょう}であったならば、行動規範があるでしょう。
0062	264823	268933	そうすると{行動規範|こうどうきはん|こうどきはん}に則って行動しますと、
0063	269368	273404	ボーナスも受ける事が出来るし、無視をしたならば、
0064	274868	277133	{ボーナス||もうらす}も貰えない{||す}、もしくは
0065	277533	280140	解雇されてしまうと言う事になってしまいます。
0066	280140	283656	経済的なモティベーションがある訳です。もっと正直{に||}なる。
0067	283836	288433	(F え)そしてもっと企業{||に}の原則を守ろうと言う気持ちになるのです。
0068	288683	293080	{||お}同じ様に評判と言うのも経済的な力を持っています。
0069	293522	299816	評判を蓄積する、正直になる。そうするともっと将来信頼してもらえると言う事になるからです。
0070	300049	301144	アダム・スミスは
0071	302122	304232	ベーカーで、パン屋さんで、
0072	304931	307821	自費でパンを作って<H>いるのではないと。
0073	307836	313955	そして消費者がいると言う形で、もっともっと将来パンを売りたいからだと言う風に言うのです。
0074	314337	319197	私の研究ではチューリッヒ大学ではスイスの銀行が
0075	320300	321190	メディアで
