0001	14102	14868	{||い}今日は
0002	15399	17958	貯蓄について話をしたいと思います。
0003	18467	20102	今日では無く明日と言う{事|こと|こ}です。
0004	24165	26896	シカゴ大学の<H>{||ういいい}(F え)人が、
0005	27347	31303	十五年前に開発をしたプログラムなんですけれども、このプログラムは
0006	31886	36089	人間の行動的な財政に(P)(F え)基づいています。
0007	36485	41897	この構造財政をどの様に使っていたのか、{||こうごう}構造財政とは何かと言う事です。
0008	42633	45938	自分達はお金をどう使ってるか考えてみたいと思います。
0009	46378	48136	(F え)住宅ローン(F ですね)。
0010	48522	51449	アメリカではよく聞かれるトピックです。
0011	54261	60157	(F え)出来るだけ大きな家を買おうとします。でも少し{||お}それよりも大きな家を買おうとします。
0012	60957	61505	そして
0013	63400	63882	(F えー)
0014	64906	68169	(F えー)銀行に行って{||ぎ}住宅ローンを申し込むと言う事なんです。
0015	69237	73328	(F え)リスクをどの様に管理する(?){の||}でしょうか。例えば株に投資をすると。
0016	73630	75518	二年前、三年前、四年前、
0017	76239	80264	(F え)市場はとても良かったです。私達はリスクを取っていますよね。
0018	80958	81640	そして
0019	82123	84061	(F え)市場は、段々、
0020	87385	88537	感情的に
0021	89702	92106	(F えー)非常に感じ方が違うと。
0022	93979	96886	マーケットが上がっていた時と感じ方が違う。
0023	97345	98297	私達は
0024	99348	102558	(F えー)リスクを取ると言う事ではあまり上手くいっていない様です。
0025	102763	103873	<ｉＰｈｏｎｅ|アイフォン>を持っている人。
0026	105383	106500	素晴らしいです(F ね)。
0027	108192	109799	(F えー)もっと多くの人が、
0028	110626	111440	<ｉＰｈｏｎｅ|アイフォン>を
0029	114985	118599	(F えー)保険を買いますよね。<ｉＰｈｏｎｅ|アイフォン>を無くした時の為に。
0030	119437	120319	その中で、
0031	121212	123026	子供がいる人{は||}いらっしゃいますか？
0032	124329	125267	手を挙げてください。
0033	127505	131434	(F えー)十分な生命保険を持っていると言う人は手を挙げてください。
0034	131872	132582	恐らく、
0035	137309	139374	<ｉＰｈｏｎｅ|アイフォン>{||に}(P)よりも、
0036	140722	146088	子供がいたとしても、(F えー)自分の命よりも<ｉＰｈｏｎｅ|アイフォン>に保険を掛けた方が良いと思います。
0037	146553	147751	アメリカの{||ううう}
0038	148177	150356	(F えー)家族は、平均な家族は
0039	152124	153386	(F えー){||んん}{||ん}
0040	153771	154026	{||んー}
0041	154620	156903	(F え)宝くじに千ドルを使っていると。
0042	157674	161154	{その||そお}中で千ドル使ってらっしゃる人いらっしゃいますか？誰も使っていない。
0043	161431	162238	と言う事は、
0044	163840	167937	この家の人は一千ドル以上使っていないと言う事です。
0045	169923	171378	{所得|しょとく|しおとく}の低い人は
0046	173163	175080	(F えー)千ドル以上を使っています。
0047	177021	177841	と言う事は、
0048	178876	181648	(F え)お金の管理は、私達は上手くないと言う事です。
0049	181718	192408	行動財政と言うのは、(F え)心理学、そして経済学(P)の(P)(F えー)組み合わせで、(F え)どう言った所でお金の使い方を間違っているかと言う事です。
